index,cafe_name,city,province,phone_number,cost,work_start,work_end,cafe_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
0, رولی (تبریز) ,tabriz,اول عباسی,04135243397,2,11:00:00,23:00:00,اول عباسی، به طرف منصور,False,False,False,False,False,False,False,True,0,0,0,0,0,38.08003568793997,46.30858540534973
1, لاله زار (تبریز) ,tabriz,چایکنار,04132820831,2,11:00:00,23:00:00,چایکنار، بعد از کارواش شهرداری، نرسیده به بلوار آذربایجان,False,False,False,False,False,False,False,True,0,0,0,0,0,38.09703601625928,46.27109885215759
2, سانیز ,tabriz,پل سنگی,04133346101,2,11:00:00,23:00:00,پل سنگی، چایکنار,False,False,False,False,False,False,False,True,0,0,0,0,0,38.07700438693774,46.3165816613133
3, آسا ,tabriz,ولیعصر,04133314649,2,08:30:00,23:30:00,ولیعصر، خیابان شریعتی، نرسیده به میدان بهارستان، طبقه فوقانى قنادى کریمی,False,False,False,False,False,False,False,True,0,0,0,0,0,38.06474035380125,46.3593428581953
4, کلبه (تبریز) ,tabriz,ولیعصر,04133249214,2,10:00:00,23:30:00,ولیعصر، نگین پارک,False,True,False,False,False,False,False,True,0,0,0,0,0,38.06683464425639,46.35102465748787
5, سن سون (تبریز) ,tabriz,بلوار 29 بهمن,09356163131,2,12:00:00,23:00:00,بلوار 29 بهمن، اول جاده شاهگلی، روبه‌روی راهنمایی,False,False,False,False,False,False,False,True,0,0,0,0,0,38.05448131849337,46.34750157594681
6, گرامافون (تبریز) ,tabriz,خیابان شریعتی جنوبی,09056182325,2,11:00:00,00:00:00,خیابان شریعتی جنوبی،نبش کوچه آرام اول,False,True,False,False,False,False,False,True,0,0,0,0,0,38.05980874139353,46.28330826759338
7, باداس (تبریز) ,tabriz,رشدیه,04136660742,2,08:00:00,23:00:00,رشدیه، ابتدای جاده سلامت,False,True,False,False,False,False,False,True,0,0,0,0,0,38.08056139993987,46.37023329734802
8, اوربان ,tabriz,خيابان شريعتي(شهناز),04135567707,1,09:00:00,23:00:00,خيابان شريعتي(شهناز)، خيابان والمان,False,True,False,False,False,False,False,True,0,0,0,0,0,38.07130282660564,46.28806382417679
9, رز (تبریز) ,tabriz,اول جاده ایل گلی,04133323024,2,11:00:00,00:00:00,اول جاده ایل گلی، الهی پرست، نپش ۲۴ متری,False,True,False,False,False,False,False,True,0,0,0,0,0,38.04719547952869,46.34753108024597
10, قهوه پدر ,tabriz,شریعتی جنوبی,04135568285,1,12:00:00,23:00:00,شریعتی جنوبی، کوچه‌های سنگی,False,False,False,False,False,False,False,True,0,0,0,0,0,38.073517,46.288039
11, کافه پیتزا8 ,tabriz,اتوبان پاسداران,36697408,2,11:00:00,23:00:00,اتوبان پاسداران،50متر بالاتر از لاله پارک,False,True,True,True,False,True,False,True,0,0,0,0,0,38.0643471,46.3949673
12, لانژ ,tabriz,رشديه,04136669702,2,11:00:00,00:00:00,رشديه ، الهيه،كوى سبلان,False,False,True,False,False,False,False,True,0,0,0,0,0,38.07664274890498,46.37397229671478
13, پاییز 81 ,tabriz,خیابان ولیعصر,33260257,1,10:00:00,23:00:00,خیابان ولیعصر ، فلکه بزرگ ، مرکز خرید میلاد نور,False,True,False,True,False,False,True,True,0,0,0,0,0,38.0563902600036,46.3612860984873
14, عمارت ,tabriz,پارک ائل گلی,,2,11:00:00,00:00:00,پارک ائل گلی، عمارت شاه گلی,False,True,False,True,False,True,True,True,4,5,5,4,0,38.0256705271673,46.3656959684235
15, امیر شکلات پلاس ,tabriz,خیابان ولیعصر,09141150840,2,11:00:00,00:00:00,خیابان ولیعصر ، پارک ولیعصر ، مجتمع تفریحی,False,True,False,True,False,False,False,True,0,0,0,0,0,38.0603421738394,46.3477537480342
16, سیزده ,tabriz,وليعصر,33291989,2,18:00:00,00:00:00,وليعصر ، فروغي ، خيابان شيخ محمد خياباني ، كافه ١٣,False,True,True,True,False,True,False,True,0,0,0,0,0,38.0646669740412,46.3549829640518
17, رکس ,tabriz,ميدان فهميده,36600670,2,10:30:00,23:30:00,ميدان فهميده، مجتمع لاله پارك، طبقه1,False,False,True,False,False,False,False,True,0,0,0,0,0,38.0721008903162,46.3685031132438
18, فرست کلاس (جمهوری) ,karaj,جهانشهر,34438500,2,11:00:00,00:00:00,جهانشهر، کنار گذر پل روحانی، نرسیده به میدان جمهوری، نبش کوچه میثم,False,True,False,False,False,False,False,True,0,0,0,0,0,35.82468347019756,50.97659358318362
19, مهراد ,karaj,عظیمیه,02635777,2,11:00:00,00:00:00,عظیمیه، بلوار شریعتی، طبقه چهارم,False,True,False,False,False,False,True,True,0,0,0,0,0,35.83522828600601,51.01366281509399
20, لوکاس ,karaj,مهرشهر,02633425186,2,11:00:00,00:00:00,مهرشهر، بلوار شهرداری، خیابان صد و نه، پلاک422/2,False,False,True,False,True,False,False,True,5,5,5,4,0,35.80097178542949,50.90738967061043
21, عمارت آسمانی ,karaj,جهانشهر,34441067,2,11:00:00,00:00:00,جهانشهر، بلوار ماهان شرقی، خیابان استانداری شمالی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.83511086412926,50.98645985126495
22, کاویچ (گوهردشت) ,karaj,گوهردشت,09015266615,2,07:00:00,00:00:00,گوهردشت،بلوار آزادی،بین فلکه اول وسه باندی,False,False,True,False,False,False,False,True,0,0,0,0,0,35.84150684159402,50.97120210528374
23, ونهان (گوهردشت) ,karaj,گوهردشت,02634447769,2,09:00:00,00:00:00,گوهردشت، خیابان  اصلي گوهردشت، خیابان داریوش,True,False,False,False,False,False,False,True,0,0,0,0,0,35.84356044655361,50.96744298934936
24, شاد (کرج) ,karaj,گوهر دشت,02634437777,2,11:00:00,23:00:00,گوهر دشت، بلوار رستاخیز، نبش خیابان 12,False,False,False,False,False,False,False,True,0,0,0,0,0,35.86071776504637,50.974942445755
25, عمو قباد (کرج) ,karaj,گوهردشت,,2,09:00:00,23:00:00,گوهردشت،خیابان سیزدهم غربي(فاز٢)، نرسیده به رستاخیز,False,False,False,False,False,False,False,True,0,0,0,0,0,35.86105687381065,50.97697019577026
26, آنان (گوهردشت) ,karaj,خیابان گوهردشت,02634409701,2,08:00:00,23:45:00,خیابان گوهردشت، بلوار رستاخیز، نبش خیابان دهم شرقی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.85923088641566,50.97433090209961
27, بیلیونرز (کرج) ,karaj,عظیمیه,32513737,2,11:00:00,00:00:00,عظیمیه ، میدان ‌طالقانی ، به‌سمت بام نبش گلستان‌۲۰,True,True,False,False,False,False,False,True,0,0,0,0,0,35.84716309566336,51.01256847381592
28, تی شی نی (کرج) ,karaj,بام,32535553,2,09:00:00,00:00:00,بام،عظيميه، بلوارطالقانی شمالی، نبش گلستان۲۰,True,False,False,False,False,False,False,True,2,3,2,3,0,35.84734354994484,51.0128903388977
29, کاراکتر (مهرشهر) ,karaj,مهرشهر,02691010091,2,08:00:00,00:00:00,مهرشهر، بلوار شهرداری، چهارراه مسیح پاکدل، جنب مرکز خرید پاتریس,True,True,False,True,False,False,False,True,2,1,2,2,0,35.7945823314864,50.89561343193054
