confectionery_name,province,phone_number,cost,work_start,work_end,confectionery_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
شیرینی فروشی فرانسه,خيابان انقلاب نبش خيابان ابوريحان,,2,09:00:00,21:00:00,خيابان انقلاب نبش خيابان ابوريحان,False,False,False,False,False,False,False,True,5,4,4,4,0,35.7011427574501,51.4003152977132
شیرینی فروشی گاندی,میدان ونک,88795199,2,08:00:00,21:00:00,میدان ونک، ابتدای خیابان گاندی، پاساژ ۱۱۰ ، طبقه همکف، واحد ۹۸/۱,False,False,False,False,False,False,False,True,4,3,3,4,0,35.756393344915,51.4119946490422
کافه اوریانت,خیابان مفتح.نرسیده به انقلاب,88347810,2,08:30:00,20:00:00,خیابان مفتح.نرسیده به انقلاب,False,False,False,False,False,False,False,True,4,4,4,4,0,35.70239526865087,51.42583492372068
,خیابان یوسف  آباد,88027072,1,10:00:00,21:00:00,خیابان یوسف  آباد ، خیابان فتحی شقاقی ، میدان سلماس ، خیابان شهریار ، نبش خیابان 10/1,False,False,False,False,False,False,False,True,4,4,4,4,0,35.72486651403832,51.40241682529449
شیرینی فروشی طلایی,خیابان میرزای شیرازی,88343141,2,08:30:00,21:30:00,خیابان میرزای شیرازی ، بالاتر از پمپ بنزین ، پلاک 155,False,False,False,False,False,False,False,True,4,4,4,4,0,35.7216340026676,51.4159104385096
شیرینی فروشی الهیه 33  (فرشته),خیابان ولیعصر,22015033,2,08:00:00,22:00:00,خیابان ولیعصر ، خیابان فیاضی (فرشته) ، خیابان اخگر ، پلاک 1,False,False,False,False,False,False,False,True,5,5,4,4,0,35.791534,51.418417
شیرینی فروشی دانمارکی (پاسداران),پاسداران,22588478,1,09:00:00,22:00:00,پاسداران ، پایین تر از برج سفید ، روبروی بوستان 4,False,False,False,False,False,False,False,True,4,3,2,4,0,35.7652223885573,51.4558453318089
شیرینی فروشی بی بی  شریعتی,خیابان دکتر شریعتی,22201086,2,09:00:00,22:00:00,خیابان دکتر شریعتی، بالاتر از بزرگراه صدر، (محمد میرزاپور)خیابان سهیل، ابتدای خیابان نظامی، پلاک 6,False,False,False,False,False,False,False,True,5,4,3,5,0,35.7883239974423,51.44046664237976
شیرینی فروشی سولدوش,ضلع شرقی میدان هروی,2861,2,08:00:00,00:00:00,ضلع شرقی میدان هروی، تپه شمس آباد،سمت راست,False,False,False,False,False,False,False,True,4,4,3,3,0,35.7666644751148,51.4607741439815
شیرینی فروشی بی بی(یوسف آباد),یوسف آباد,88007770,2,09:00:00,21:00:00,یوسف آباد، میدان کلانتری، خیابان مدبر (مهرام)، نبش خیابان 30,False,False,False,False,False,False,False,True,5,5,5,5,0,35.7319343598149,51.4027333259582
